pitch_type,metric,value,model
FB,auc,0.768,cnn
FBwM,auc,0.67,cnn
OFF,auc,0.78,cnn
FB,auprc,0.728,cnn
FBwM,auprc,0.429,cnn
OFF,auprc,0.64,cnn
FB,auc,0.781,cnn
FBwM,auc,0.662,cnn
OFF,auc,0.775,cnn
FB,auprc,0.67,cnn
FBwM,auprc,0.421,cnn
OFF,auprc,0.633,cnn
FB,auc,0.841,cnn
FBwM,auc,0.654,cnn
OFF,auc,0.834,cnn
FB,auprc,0.777,cnn
FBwM,auprc,0.35,cnn
OFF,auprc,0.702,cnn
FB,auc,0.751,cnn
FBwM,auc,0.695,cnn
OFF,auc,0.818,cnn
FB,auprc,0.694,cnn
FBwM,auprc,0.329,cnn
OFF,auprc,0.733,cnn
FB,auc,0.816,cnn
FBwM,auc,0.714,cnn
OFF,auc,0.832,cnn
FB,auprc,0.77,cnn
FBwM,auprc,0.389,cnn
OFF,auprc,0.741,cnn
FB,auc,0.804,cnn-lstm
FBwM,auc,0.607,cnn-lstm
OFF,auc,0.774,cnn-lstm
FB,auprc,0.695,cnn-lstm
FBwM,auprc,0.298,cnn-lstm
OFF,auprc,0.653,cnn-lstm
FB,auc,0.811,cnn-lstm
FBwM,auc,0.667,cnn-lstm
OFF,auc,0.842,cnn-lstm
FB,auprc,0.727,cnn-lstm
FBwM,auprc,0.39,cnn-lstm
OFF,auprc,0.763,cnn-lstm
FB,auc,0.777,cnn-lstm
FBwM,auc,0.63,cnn-lstm
OFF,auc,0.793,cnn-lstm
FB,auprc,0.678,cnn-lstm
FBwM,auprc,0.368,cnn-lstm
OFF,auprc,0.707,cnn-lstm
FB,auc,0.792,cnn-lstm
FBwM,auc,0.593,cnn-lstm
OFF,auc,0.794,cnn-lstm
FB,auprc,0.733,cnn-lstm
FBwM,auprc,0.271,cnn-lstm
OFF,auprc,0.693,cnn-lstm
FB,auc,0.851,cnn-lstm
FBwM,auc,0.676,cnn-lstm
OFF,auc,0.888,cnn-lstm
FB,auprc,0.783,cnn-lstm
FBwM,auprc,0.396,cnn-lstm
OFF,auprc,0.829,cnn-lstm
FB,auc,0.641,branched-cnn
FBwM,auc,0.629,branched-cnn
OFF,auc,0.719,branched-cnn
FB,auprc,0.59,branched-cnn
FBwM,auprc,0.39,branched-cnn
OFF,auprc,0.624,branched-cnn
FB,auc,0.777,branched-cnn
FBwM,auc,0.617,branched-cnn
OFF,auc,0.737,branched-cnn
FB,auprc,0.697,branched-cnn
FBwM,auprc,0.41,branched-cnn
OFF,auprc,0.599,branched-cnn
FB,auc,0.71,branched-cnn
FBwM,auc,0.567,branched-cnn
OFF,auc,0.757,branched-cnn
FB,auprc,0.618,branched-cnn
FBwM,auprc,0.261,branched-cnn
OFF,auprc,0.623,branched-cnn
FB,auc,0.706,branched-cnn
FBwM,auc,0.54,branched-cnn
OFF,auc,0.752,branched-cnn
FB,auprc,0.632,branched-cnn
FBwM,auprc,0.259,branched-cnn
OFF,auprc,0.623,branched-cnn
FB,auc,0.633,branched-cnn
FBwM,auc,0.668,branched-cnn
OFF,auc,0.712,branched-cnn
FB,auprc,0.596,branched-cnn
FBwM,auprc,0.382,branched-cnn
OFF,auprc,0.586,branched-cnn
FB,auc,0.817,cnn-xtra
FBwM,auc,0.705,cnn-xtra
OFF,auc,0.848,cnn-xtra
FB,auprc,0.733,cnn-xtra
FBwM,auprc,0.416,cnn-xtra
OFF,auprc,0.764,cnn-xtra
FB,auc,0.81,cnn-xtra
FBwM,auc,0.68,cnn-xtra
OFF,auc,0.83,cnn-xtra
FB,auprc,0.74,cnn-xtra
FBwM,auprc,0.43,cnn-xtra
OFF,auprc,0.693,cnn-xtra
FB,auc,0.854,cnn-xtra
FBwM,auc,0.701,cnn-xtra
OFF,auc,0.86,cnn-xtra
FB,auprc,0.787,cnn-xtra
FBwM,auprc,0.406,cnn-xtra
OFF,auprc,0.797,cnn-xtra
FB,auc,0.812,cnn-xtra
FBwM,auc,0.673,cnn-xtra
OFF,auc,0.845,cnn-xtra
FB,auprc,0.749,cnn-xtra
FBwM,auprc,0.471,cnn-xtra
OFF,auprc,0.723,cnn-xtra
FB,auc,0.834,cnn-xtra
FBwM,auc,0.745,cnn-xtra
OFF,auc,0.875,cnn-xtra
FB,auprc,0.79,cnn-xtra
FBwM,auprc,0.404,cnn-xtra
OFF,auprc,0.832,cnn-xtra
