model,pitch_type,FB,FBwM,OFF,precision,recall,f1-score,auc,auprc,test_support
CNN-2D,FB,270,74,31,0.68,0.72,0.698,0.825,0.76,75
CNN-2D,FBwM,81,93,36,0.423,0.443,0.426,0.701,0.425,42
CNN-2D,OFF,48,58,209,0.763,0.664,0.708,0.852,0.762,63
CNN-3D,FB,253,68,54,0.66,0.675,0.666,0.791,0.728,75
CNN-3D,FBwM,71,72,67,0.393,0.343,0.362,0.679,0.384,42
CNN-3D,OFF,61,45,209,0.635,0.664,0.648,0.808,0.69,63
CNN-3D-LSTM,FB,250,103,22,0.672,0.667,0.669,0.807,0.723,75
CNN-3D-LSTM,FBwM,73,94,43,0.334,0.448,0.382,0.635,0.345,42
CNN-3D-LSTM,OFF,50,86,179,0.733,0.568,0.638,0.818,0.729,63
CNN-Branched,FB,241,70,64,0.537,0.643,0.581,0.693,0.627,75
CNN-Branched,FBwM,113,51,46,0.315,0.243,0.217,0.604,0.34,42
CNN-Branched,OFF,97,59,159,0.609,0.505,0.542,0.735,0.611,63
